epoch,train_loss,test_loss
1,3.40104,3.55096
2,2.77887,3.14914
3,2.36102,2.70288
4,1.94401,2.43751
5,1.60678,2.49246
6,1.33995,2.6053
7,1.11906,2.07296
8,0.93252,1.677
9,0.77976,1.55289
10,0.62543,1.49299
11,0.54161,1.17674
12,0.4422,1.35473
13,0.36352,1.05243
14,0.38583,1.54575
15,0.28322,0.78957
16,0.2893,0.85353
17,0.24231,0.90882
18,0.20367,1.07243
19,0.23024,0.89746
20,0.20099,0.84257
21,0.17426,0.78896
22,0.15929,0.77537
23,0.15242,0.69184
24,0.14813,0.80735
25,0.16197,0.74722
26,0.11289,0.65943
27,0.14893,0.67874
28,0.14097,0.77914
29,0.09099,0.5616
30,0.10414,0.92528
31,0.10385,0.66199
32,0.12487,0.69458
33,0.10441,0.65256
34,0.12744,0.66808
35,0.09578,0.60645
36,0.07343,0.60799
37,0.08725,0.60001
38,0.07624,0.55924
39,0.09596,0.68407
40,0.08008,0.58828
41,0.06274,0.53803
42,0.07721,0.73765
43,0.08334,0.60404
44,0.08021,0.68761
45,0.06217,0.51234
46,0.06011,0.53012
47,0.05803,0.52145
48,0.05722,0.53566
49,0.05598,0.51877
50,0.05461,0.5249
