                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88791,                 2.6354,                 1.4713,                0.25939,                0.03295,                0.00477,                0.00177,                 2.7439,                 7.1004,                 5.1342,               0.070109,              0.0033212,              0.0033212
                      2,                0.77876,                  1.889,                 1.3485,                0.80936,                0.19745,                0.23343,                0.18372,                0.81239,                 2.4188,                 1.6643,               0.040108,              0.0066529,              0.0066529
                      3,                0.72647,                 1.6639,                 1.3081,                 0.6178,                0.26183,                0.24806,                0.19947,                0.67545,                 2.6154,                 1.4123,                 0.0101,              0.0099781,              0.0099781
                      4,                0.66819,                 1.5042,                 1.2487,                0.75243,                0.30129,                0.37798,                0.31155,                0.70855,                 1.9984,                 1.4514,               0.009978,               0.009978,               0.009978
                      5,                0.61989,                 1.3665,                 1.2123,                0.78434,                0.46408,                0.62735,                0.52795,                0.63283,                 1.2819,                 1.3621,               0.009961,               0.009961,               0.009961
                      6,                0.59313,                 1.2688,                 1.1855,                0.71033,                 0.4682,                0.56475,                0.49345,                0.55972,                 1.3989,                 1.2362,              0.0099391,              0.0099391,              0.0099391
                      7,                0.56214,                 1.1741,                   1.16,                0.68267,                0.56497,                0.60765,                0.53118,                0.53507,                 1.1631,                 1.2209,              0.0099123,              0.0099123,              0.0099123
                      8,                0.54964,                 1.0979,                 1.1535,                0.69509,                0.68019,                0.71344,                 0.6283,                0.54076,                0.94688,                 1.2253,              0.0098808,              0.0098808,              0.0098808
                      9,                   0.53,                 1.0605,                 1.1399,                0.65164,                0.67015,                0.74441,                0.66259,                0.51922,                 1.0552,                 1.1743,              0.0098445,              0.0098445,              0.0098445
                     10,                0.53171,                 1.0225,                 1.1385,                0.78009,                0.61493,                 0.7845,                0.69541,                0.50305,                 1.0117,                 1.1565,              0.0098035,              0.0098035,              0.0098035
                     11,                 0.5137,                0.98358,                 1.1188,                0.73838,                0.77457,                0.81686,                  0.732,                0.47513,                 0.7157,                 1.1297,              0.0097577,              0.0097577,              0.0097577
                     12,                0.50771,                0.93658,                 1.1191,                0.83487,                0.74379,                0.84782,                0.74154,                0.55199,                 0.7593,                 1.2203,              0.0097074,              0.0097074,              0.0097074
                     13,                0.49613,                0.92174,                 1.1104,                0.80484,                0.79051,                0.86867,                0.78066,                0.48245,                 0.6682,                 1.1312,              0.0096524,              0.0096524,              0.0096524
                     14,                 0.4962,                0.90093,                 1.1135,                0.79904,                  0.751,                 0.8329,                0.73585,                0.50557,                0.69009,                 1.1633,              0.0095929,              0.0095929,              0.0095929
                     15,                0.47815,                0.85137,                 1.0938,                 0.7684,                0.83957,                 0.8876,                0.79882,                0.46696,                0.57972,                 1.1173,              0.0095289,              0.0095289,              0.0095289
                     16,                0.48154,                 0.8296,                 1.0931,                 0.8489,                0.86347,                0.92394,                0.84277,                0.46385,                0.54725,                 1.1177,              0.0094605,              0.0094605,              0.0094605
                     17,                0.46606,                0.80771,                  1.084,                0.82106,                0.85381,                0.88306,                0.78416,                0.52131,                0.63951,                 1.1926,              0.0093877,              0.0093877,              0.0093877
                     18,                0.46208,                 0.8121,                 1.0791,                0.81245,                0.83355,                0.89296,                0.82282,                0.43133,                0.58817,                  1.076,              0.0093107,              0.0093107,              0.0093107
                     19,                0.46921,                0.79749,                 1.0874,                0.76315,                0.83491,                0.86294,                0.76923,                0.50718,                 0.6334,                 1.1612,              0.0092294,              0.0092294,              0.0092294
                     20,                0.45632,                0.77227,                 1.0756,                0.82751,                 0.8494,                0.91716,                0.83872,                0.44008,                0.54961,                 1.0867,               0.009144,               0.009144,               0.009144
                     21,                0.44133,                 0.7389,                 1.0697,                0.87619,                0.88663,                0.92659,                0.83866,                0.46551,                0.48454,                 1.1174,              0.0090546,              0.0090546,              0.0090546
                     22,                0.44608,                0.72883,                 1.0697,                0.81898,                0.88646,                0.92616,                0.80026,                0.55107,                0.56215,                 1.2363,              0.0089613,              0.0089613,              0.0089613
                     23,                0.44026,                 0.7297,                  1.064,                0.84654,                0.91838,                0.94329,                0.84604,                0.47981,                0.48076,                 1.1318,               0.008864,               0.008864,               0.008864
                     24,                0.43956,                0.71435,                 1.0666,                0.85763,                0.85179,                0.92159,                0.82125,                0.50526,                0.57546,                 1.1566,               0.008763,               0.008763,               0.008763
